Time,Name,Direction,FarEndPoint,StartPoint,EndPoint,EstTime
0:04,AYE,1,TUAS CHECKPOINT,AYE/MCE INTERCHANGE,TELOK BLANGAH RD,2
0:04,AYE,1,TUAS CHECKPOINT,TELOK BLANGAH RD,LOWER DELTA RD,1
0:04,AYE,1,TUAS CHECKPOINT,LOWER DELTA RD,NORMANTON PARK,3
0:04,AYE,1,TUAS CHECKPOINT,NORMANTON PARK,NORTH BUONA VISTA RD,1
0:04,AYE,1,TUAS CHECKPOINT,NORTH BUONA VISTA RD,CLEMENTI RD,2
0:04,AYE,1,TUAS CHECKPOINT,CLEMENTI RD,WEST COAST RD,1
0:04,AYE,1,TUAS CHECKPOINT,WEST COAST RD,CLEMENTI AVE 6,1
0:04,AYE,1,TUAS CHECKPOINT,CLEMENTI AVE 6,JURONG TOWN HALL RD,2
0:04,AYE,1,TUAS CHECKPOINT,JURONG TOWN HALL RD,PENJURU RD,1
0:04,AYE,1,TUAS CHECKPOINT,PENJURU RD,JURONG PORT RD,2
0:04,AYE,1,TUAS CHECKPOINT,JURONG PORT RD,JURONG PIER RD,1
0:04,AYE,1,TUAS CHECKPOINT,JURONG PIER RD,PIONEER CIRCUS,2
0:04,AYE,1,TUAS CHECKPOINT,PIONEER CIRCUS,BENOI RD,2
0:04,AYE,1,TUAS CHECKPOINT,BENOI RD,AYE/PIE INTERCHANGE,2
0:04,AYE,1,TUAS CHECKPOINT,AYE/PIE INTERCHANGE,TUAS WEST RD,2
0:04,AYE,1,TUAS CHECKPOINT,TUAS WEST RD,TUAS WEST DRIVE,2
0:04,AYE,1,TUAS CHECKPOINT,TUAS WEST DRIVE,TUAS CHECKPOINT,1
0:04,AYE,2,CITY,TUAS CHECKPOINT,TUAS WEST RD,1
0:04,AYE,2,CITY,TUAS WEST RD,AYE/PIE INTERCHANGE,2
0:04,AYE,2,CITY,AYE/PIE INTERCHANGE,BENOI RD,2
0:04,AYE,2,CITY,BENOI RD,PIONEER CIRCUS,2
0:04,AYE,2,CITY,PIONEER CIRCUS,JALAN BOON LAY,1
