DateTime,MaximumSpeed,LinkID,RoadName,SpeedBand,RoadCategory,MinimumSpeed,Location
00:01,59.0,103098943,CHOA CHU KANG AVENUE 3,3,D,40.0,1.3805895432850994 103.74201730473243 1.3800400299576012 103.74120855605975
00:01,59.0,103076063,WOODLANDS ROAD,3,B,40.0,1.399027473240379 103.7553182996927 1.3986609754803143 103.75518194323922
00:01,39.0,103030883,HOUGANG AVENUE 4,2,D,20.0,1.3742439017982357 103.88529975827204 1.3738695600842703 103.8852253844054
00:01,59.0,104003992,CLEMENTI AVENUE 6,3,F,40.0,1.3163287378822295 103.76133268167833 1.3152605534502255 103.76088573773033
00:01,19.0,103110036,HARVEY ROAD,1,E,0.0,1.333534171783063 103.88445104036495 1.334480240662004 103.88423757172991
00:01,59.0,103089006,PIONEER ROAD NORTH,3,B,40.0,1.3468683821422813 103.69025703809406 1.3466193981361332 103.6903389382926
00:01,39.0,103102707,TEBAN GARDENS ROAD,2,D,20.0,1.3221397264324177 103.74067367269409 1.3224151277960807 103.73936107597333
00:01,,103066446,SELETAR EXPRESSWAY,4,A,60.0,1.3933641470952896 103.83017614834209 1.3930461788606892 103.82850046052181
00:01,39.0,104006262,JALAN TIONG,2,B,20.0,1.2885446575569008 103.81522708590182 1.2894487475306688 103.81601120052828
00:01,39.0,103023263,MIMOSA ROAD,2,E,20.0,1.3846516285071027 103.86130024952197 1.3847021513504938 103.86163326231437
00:01,39.0,103106791,JURONG WEST STREET 51,2,C,20.0,1.3469175675090634 103.72108428937013 1.347671822206832 103.72065434759489
00:01,39.0,103037283,LI HWAN DRIVE,2,E,20.0,1.354538472093295 103.86279521974849 1.3554224742291467 103.863192917283
00:01,59.0,103079659,BENOI ROAD,3,B,40.0,1.3218406112967973 103.67908937587285 1.3224708533860603 103.67911675172884
00:01,,103053551,PENJURU CLOSE,0,E,,1.312473778966346 103.73316481781487 1.3127432138862785 103.73199916551488
00:01,19.0,103070015,ELIAS ROAD,1,D,0.0,1.3777681206363968 103.94139850987841 1.378867186631845 103.94152708219333
00:01,39.0,103046419,TUDOR CLOSE,2,E,20.0,1.3272983831607585 103.81902739813964 1.3269356969952486 103.81906247979533
00:01,39.0,103100830,JURONG WEST STREET 91,2,D,20.0,1.3430596047385601 103.69250778755682 1.3422347747467551 103.69145681907827
00:01,39.0,104007318,BISHAN STREET 12,2,D,20.0,1.3479668056040577 103.84987239628619 1.347285087627832 103.84973081425973
00:01,19.0,103091431,JOO CHIAT AVENUE,1,E,0.0,1.3160979329649067 103.91252210842339 1.3157664228530506 103.91101277695655
00:01,59.0,103046935,SERANGOON ROAD,3,B,40.0,1.3220591510051254 103.86246461405193 1.3215993547809128 103.86315591911669
